GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deustocine,com.deustocine.app.server,MainServer,236,0,0,0,72,0,2,0,2,0
deustocine,com.deustocine.app.conexion,Conexion,37,0,2,0,12,0,3,0,2,0
deustocine,com.deustocine.app.domain,Cine,33,73,4,4,10,20,6,11,2,11
deustocine,com.deustocine.app.domain,Usuario,36,32,0,0,14,6,8,3,8,3
deustocine,com.deustocine.app.domain,Sesion,149,113,24,0,20,27,18,13,6,13
deustocine,com.deustocine.app.domain,Pelicula,69,84,8,0,17,22,8,13,4,13
deustocine,com.deustocine.app.domain,Entrada,54,0,0,0,18,0,10,0,10,0
deustocine,com.deustocine.app.dao,UsuarioDAO,35,126,3,7,9,36,4,8,1,6
deustocine,com.deustocine.app.dao,SesionDAO,6,121,3,7,2,34,3,7,0,5
deustocine,com.deustocine.app.dao,PeliculaDAO,6,120,3,7,2,34,3,8,0,6
deustocine,com.deustocine.app.dao,CineDAO,0,126,3,7,0,36,3,8,0,6
deustocine,com.deustocine.app.servicios,UsuarioServicio,96,0,8,0,23,0,11,0,7,0
deustocine,com.deustocine.app.servicios,Configuracion,3,0,0,0,1,0,1,0,1,0
deustocine,com.deustocine.app.servicios,CineServicio,61,0,6,0,15,0,8,0,5,0
deustocine,com.deustocine.app.servicios,SesionServicio,61,0,6,0,15,0,8,0,5,0
deustocine,com.deustocine.app.servicios,PeliculaServicio,96,0,8,0,23,0,11,0,7,0
deustocine,com.deustocine.app.ventanas,InicioSesion,8,129,0,0,4,25,2,1,2,1
deustocine,com.deustocine.app.ventanas,CrearUsuario.new ActionListener() {...},75,0,2,0,20,0,3,0,2,0
deustocine,com.deustocine.app.ventanas,InicioSesion.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
deustocine,com.deustocine.app.ventanas,InicioSesion.new ActionListener() {...},9,6,0,0,3,1,1,1,1,1
deustocine,com.deustocine.app.ventanas,CrearUsuario,213,0,0,0,41,0,2,0,2,0
deustocine,com.deustocine.app.ventanas,CrearUsuario.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
